 ,X,Y
1,448.000,348.000
2,471.500,329.500
3,501.500,317.500
4,533.500,306.500
5,572.500,300.500
6,622.500,18.500
7,678.500,276.500
8,751.500,301.500
9,790.500,97.500
10,843.500,356.500
11,901.500,411.500
12,963.500,458.500
13,1041.500,493.500
14,528.500,989.500
15,667.500,822.500
16,733.500,779.500
17,1024.500,1042.500
18,530.500,1551.500
19,666.500,1313.500
20,730.500,1276.500
21,1022.500,1631.500
22,528.500,2147.500
23,664.500,1924.500
24,727.500,1840.500
25,1020.500,2189.500
26,525.500,2759.500
27,659.500,2635.500
28,723.500,2612.500
29,1016.500,2792.500
30,517.500,3315.500
31,657.500,3125.500
32,719.500,3111.500
33,655.500,3844.500
34,721.500,3797.500
35,1032.500,3947.500
